

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|15 41 27.8|-81 37 33|308.9754|-20.8284|   1.28|    SPIRAL GALAXY|
|20 24 55.5|-81 34 35|311.8814|-30.1843|   1.22|    SPIRAL GALAXY|
|00 40 43.1|-81 34 03|303.4148|-35.5507|   1.03|    SPIRAL GALAXY|
|23 56 27.7|-81 34 00|305.3788|-35.2988|   1.49|    SPIRAL GALAXY|
|21 52 27.8|-81 31 51|310.0299|-32.9638|   1.45|    SPIRAL GALAXY|
|05 05 00.4|-81 18 41|293.8918|-30.7282|   1.15|LENTICULAR GALAXY|
|10 38 01.5|-81 05 51|297.7501|-19.5997|   1.21|    SPIRAL GALAXY|
|22 36 11.6|-81 03 52|308.9464|-34.4236|   1.09|    SPIRAL GALAXY|
|03 58 31.5|-81 03 46|295.1720|-33.0345|   1.25|    SPIRAL GALAXY|
|22 28 32.8|-80 59 59|309.2793|-34.2915|   1.10|    SPIRAL GALAXY|
|22 51 59.8|-80 50 11|308.4843|-34.9654|   1.12|    SPIRAL GALAXY|
|00 00 22.5|-80 47 30|305.4397|-36.0866|   1.19|    SPIRAL GALAXY|
|21 52 20.1|-80 34 26|310.8919|-33.5934|   1.13| IRREGULAR GALAXY|
|13 32 27.4|-80 25 56|304.7119|-17.7025|   1.32|    SPIRAL GALAXY|
|10 58 10.7|-77 37 53|296.8613|-16.1154|   1.19|    SPIRAL GALAXY|
|10 03 45.3|-80 25 19|296.1447|-19.8428|   1.30|    SPIRAL GALAXY|
|01 36 33.8|-80 20 52|300.5911|-36.5745|   1.25|    SPIRAL GALAXY|
|00 02 44.3|-80 20 48|305.4547|-36.5418|   1.36|    SPIRAL GALAXY|
|00 07 07.6|-80 18 30|305.2417|-36.6204|   1.17|    SPIRAL GALAXY|
|01 07 01.0|-80 18 24|302.1136|-36.7968|   1.44|    SPIRAL GALAXY|
|06 38 40.1|-80 14 50|291.9652|-27.2446|   0.93|    SPIRAL GALAXY|
|01 02 45.0|-80 14 01|302.3324|-36.8815|   1.21|    SPIRAL GALAXY|
|17 26 02.2|-80 11 41|312.8700|-23.2125|   1.20|LENTICULAR GALAXY|
|23 44 16.3|-80 10 32|306.4471|-36.4899|   1.30|    SPIRAL GALAXY|
|22 24 05.6|-80 10 26|310.0904|-34.8099|   1.12|LENTICULAR GALAXY|
|17 24 09.7|-80 08 49|312.8789|-23.1197|   1.17|    SPIRAL GALAXY|
|01 05 07.2|-80 08 03|302.1987|-36.9746|   1.09|    SPIRAL GALAXY|
|03 43 45.6|-80 06 20|294.7818|-34.1181|   1.28| IRREGULAR GALAXY|
|20 46 01.8|-80 04 50|313.1459|-31.5115|   1.11|    SPIRAL GALAXY|
|17 23 56.4|-80 03 50|312.9554|-23.0746|   1.13|    SPIRAL GALAXY|
|20 43 56.6|-80 00 03|313.2736|-31.4602|   1.25|LENTICULAR GALAXY|
|22 23 02.4|-79 59 45|310.2738|-34.9153|   1.43|    SPIRAL GALAXY|
|02 24 19.0|-79 55 31|298.0227|-36.3012|   0.96|    SPIRAL GALAXY|
|08 12 43.8|-79 53 07|292.6069|-23.2418|   1.02|    SPIRAL GALAXY|
|05 22 34.2|-79 51 07|292.0151|-30.5402|   1.05|LENTICULAR GALAXY|
|12 18 46.1|-79 43 33|301.4140|-16.9505|   1.58| IRREGULAR GALAXY|
|02 02 09.1|-79 42 31|299.0429|-36.8799|   0.99| IRREGULAR GALAXY|
|02 02 33.3|-79 40 20|299.0062|-36.9080|   1.28|    SPIRAL GALAXY|
|01 32 48.5|-79 28 27|300.5638|-37.4632|   1.35|    SPIRAL GALAXY|
|23 04 19.6|-79 28 01|308.8055|-36.4090|   1.12|    SPIRAL GALAXY|
|22 52 58.5|-79 18 57|309.4565|-36.2651|   1.04|    SPIRAL GALAXY|
|00 40 47.9|-79 14 27|303.5608|-37.8744|   0.97|           GALAXY|
|09 10 11.6|-79 14 03|293.4821|-20.6920|   1.16|    SPIRAL GALAXY|
|02 37 59.2|-79 11 32|296.9162|-36.6602|   1.06|    SPIRAL GALAXY|
|01 15 56.6|-79 02 48|301.4571|-38.0113|   1.04|    SPIRAL GALAXY|
|17 49 12.7|-79 01 59|314.4796|-23.7188|   1.02|           GALAXY|
|13 42 27.5|-79 00 45|305.4459|-16.3906|   1.25|    SPIRAL GALAXY|
|08 43 48.4|-78 56 54|292.4566|-21.5425|   1.28|    SPIRAL GALAXY|
|01 09 22.4|-78 54 16|301.8352|-38.1856|   1.08|    SPIRAL GALAXY|
|01 45 59.1|-78 54 15|299.6367|-37.8728|   1.01|    SPIRAL GALAXY|
|18 54 41.0|-78 53 50|315.3826|-26.7357|   1.06|    SPIRAL GALAXY|
|14 40 27.9|-78 48 37|308.2668|-17.0846|   1.02|    SPIRAL GALAXY|
|07 56 24.2|-78 42 00|291.0963|-23.4763|   1.09|    SPIRAL GALAXY|
|08 19 14.1|-78 41 48|291.5874|-22.4536|   1.35|    SPIRAL GALAXY|
|13 23 39.6|-78 40 58|304.5706|-15.9137|   1.17|    SPIRAL GALAXY|
|00 48 05.0|-78 35 51|303.1439|-38.5294|   1.09|    SPIRAL GALAXY|
|01 58 46.7|-78 23 53|298.6832|-38.1690|   1.20|    SPIRAL GALAXY|
|14 34 02.1|-78 23 18|308.1473|-16.5690|   1.27|    SPIRAL GALAXY|
|01 53 18.9|-78 14 24|298.9540|-38.4062|   1.11|    SPIRAL GALAXY|
|15 48 15.3|-78 10 48|311.5884|-18.3988|   1.28|    SPIRAL GALAXY|
|07 47 25.9|-78 09 01|290.3632|-23.7070|   1.09|    SPIRAL GALAXY|
|20 48 28.3|-78 04 10|315.2678|-32.4156|   1.37|    SPIRAL GALAXY|
|01 43 54.3|-77 57 35|299.4489|-38.8115|   1.11| IRREGULAR GALAXY|
|14 45 50.8|-77 55 28|308.9245|-16.4052|   1.27|    SPIRAL GALAXY|
|08 23 08.3|-77 51 07|290.8754|-21.8896|   1.12|    SPIRAL GALAXY|
|13 32 39.7|-77 50 31|305.1691|-15.1496|   1.35|    SPIRAL GALAXY|
|19 26 53.6|-77 47 04|316.6726|-28.3383|   1.07|    SPIRAL GALAXY|
|05 19 34.4|-77 43 51|289.6959|-31.2896|   1.28|    SPIRAL GALAXY|
|00 43 07.1|-77 40 17|303.5069|-39.4476|   1.12|    SPIRAL GALAXY|
|13 35 17.9|-77 38 33|305.3470|-14.9769|   1.36|    SPIRAL GALAXY|
|19 40 06.5|-77 33 22|316.8760|-29.0579|   1.18|    SPIRAL GALAXY|
|19 38 28.0|-77 32 17|316.9060|-28.9715|   1.06|    SPIRAL GALAXY|
|13 21 39.5|-77 32 07|304.6136|-14.7623|   1.42|    SPIRAL GALAXY|
|17 13 47.2|-77 32 07|315.1234|-21.4594|   1.60|    SPIRAL GALAXY|
|16 46 54.2|-77 29 23|314.3274|-20.2112|   0.97|    SPIRAL GALAXY|
|17 15 39.7|-77 29 23|315.2194|-21.5256|   1.48|    SPIRAL GALAXY|
|17 19 53.8|-77 21 53|315.4559|-21.6683|   1.25|    SPIRAL GALAXY|
|20 06 50.0|-77 21 20|316.8470|-30.5218|   1.05|    SPIRAL GALAXY|
|11 24 13.6|-77 09 36|298.0271|-15.1263|   1.11|    SPIRAL GALAXY|
|18 40 39.7|-77 09 25|317.2098|-25.8030|   1.11|LENTICULAR GALAXY|
|03 41 12.2|-77 08 08|292.1997|-36.2115|   1.13|    SPIRAL GALAXY|
|00 19 58.5|-77 05 27|305.2158|-39.8976|   1.17|    SPIRAL GALAXY|
|16 57 51.4|-76 59 32|315.1299|-20.4274|   1.24|    SPIRAL GALAXY|
|20 45 00.4|-76 59 03|316.5428|-32.6551|   1.17|    SPIRAL GALAXY|
|18 28 37.5|-76 56 23|317.3092|-25.1002|   1.18|LENTICULAR GALAXY|
|05 55 30.1|-76 55 15|288.3144|-29.5264|   1.31|    SPIRAL GALAXY|
|07 35 17.4|-76 55 00|288.8587|-23.9434|   1.07|    SPIRAL GALAXY|
|17 52 59.7|-76 51 47|316.7699|-23.1429|   1.19|    SPIRAL GALAXY|
|04 39 48.0|-76 50 14|289.6550|-33.6498|   1.26|    SPIRAL GALAXY|
|23 46 33.5|-76 46 50|307.6970|-39.7414|   1.03|    SPIRAL GALAXY|
|18 22 56.7|-76 41 48|317.4915|-24.7306|   1.17|    SPIRAL GALAXY|
|09 26 11.6|-76 37 35|291.9662|-18.3573|   1.28| IRREGULAR GALAXY|
|01 59 38.9|-76 35 52|297.8525|-39.8502|   1.13|    SPIRAL GALAXY|
|17 42 37.4|-76 35 52|316.7975|-22.4919|   1.25|    SPIRAL GALAXY|
|09 38 13.9|-76 35 30|292.4525|-17.8346|   1.59| IRREGULAR GALAXY|
|00 44 00.8|-76 35 23|303.4982|-40.5304|   1.12|    SPIRAL GALAXY|
|13 02 13.2|-32 46 02|305.5504| 30.0497|       |    SPIRAL GALAXY|
|10 38 57.1|-76 35 21|295.3672|-15.7043|   1.26|    SPIRAL GALAXY|
|18 21 25.4|-76 35 00|317.5897|-24.6184|   1.21|LENTICULAR GALAXY|
|16 55 47.1|-76 32 28|315.4601|-20.0787|   1.06|    SPIRAL GALAXY|
|21 31 44.4|-76 28 47|315.5876|-35.2610|   1.20|LENTICULAR GALAXY|
|20 41 06.2|-76 26 58|317.2310|-32.6365|   0.97|    SPIRAL GALAXY|
|07 55 04.1|-76 24 41|288.7546|-22.7001|   1.51|    SPIRAL GALAXY|
|21 39 34.8|-76 24 27|315.3411|-35.6805|   1.10|    SPIRAL GALAXY|
|05 08 13.8|-76 20 55|288.3706|-32.3120|   1.02|    SPIRAL GALAXY|
|21 36 00.5|-76 20 48|315.5509|-35.5432|   1.37|    SPIRAL GALAXY|
|11 16 04.5|-76 12 53|297.2249|-14.4109|   1.44|    SPIRAL GALAXY|
|02 00 40.7|-76 10 46|297.5906|-40.2223|   1.15|LENTICULAR GALAXY|
|02 17 56.8|-76 04 50|296.2942|-39.9124|   1.21|    SPIRAL GALAXY|
|22 14 23.1|-76 03 31|314.0109|-37.4861|   1.17|    SPIRAL GALAXY|
|15 10 17.1|-76 00 32|311.1421|-15.4013|   1.19| IRREGULAR GALAXY|
