

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|11 00 59.9|-14 02 21|266.4445| 40.8793|   1.19|LENTICULAR GALAXY|
|00 20 22.9|-14 02 07| 92.4295|-75.0361|   1.11|    SPIRAL GALAXY|
|12 59 42.6|-14 01 45|305.9783| 48.7936|   1.25|LENTICULAR GALAXY|
|20 46 14.9|-14 01 25| 32.7166|-31.6807|   1.08|    SPIRAL GALAXY|
|03 06 54.0|-14 01 00|197.2494|-55.8364|   1.17|    SPIRAL GALAXY|
|12 12 41.3|-14 00 52|288.8661| 47.7962|   1.22|    SPIRAL GALAXY|
|22 30 59.9|-14 00 12| 47.6484|-54.7614|   1.31|    SPIRAL GALAXY|
|02 48 04.2|-13 59 38|193.0286|-59.8151|   1.02|    SPIRAL GALAXY|
|00 05 48.0|-13 59 00| 81.6541|-73.0839|   1.04|    SPIRAL GALAXY|
|11 54 39.8|-13 58 23|282.6504| 46.6508|   1.41|ELLIPTICAL GALAXY|
|02 48 06.1|-13 57 36|192.9782|-59.7913|   1.33|    SPIRAL GALAXY|
|14 45 01.9|-13 56 51|340.3281| 40.5340|   1.22|    SPIRAL GALAXY|
|13 00 56.6|-13 56 40|306.4389| 48.8626|   1.41|    SPIRAL GALAXY|
|05 32 28.6|-13 55 38|216.9846|-23.6728|   1.17|    SPIRAL GALAXY|
|12 23 06.0|-13 55 00|292.5476| 48.3829|   1.13| IRREGULAR GALAXY|
|00 40 34.9|-13 52 26|111.5703|-76.5056|   1.70|    SPIRAL GALAXY|
|14 17 48.7|-13 52 24|332.6860| 43.9518|   1.17|    SPIRAL GALAXY|
|11 42 15.2|-13 52 00|278.5203| 45.7003|   1.17|ELLIPTICAL GALAXY|
|11 24 16.9|-13 51 28|272.9334| 43.8789|   1.17|    SPIRAL GALAXY|
|11 24 21.4|-13 51 23|272.9550| 43.8885|   1.15|    SPIRAL GALAXY|
|20 41 48.5|-13 50 47| 32.4042|-30.6221|   1.01|ELLIPTICAL GALAXY|
|04 51 12.0|-13 50 00|212.3196|-32.8123|   1.12|    SPIRAL GALAXY|
|11 23 38.4|-13 49 52|272.7246| 43.8310|   1.20|    SPIRAL GALAXY|
|05 40 51.0|-13 48 56|217.7681|-21.7701|   1.06|    SPIRAL GALAXY|
|12 20 44.6|-13 48 17|291.6701| 48.3947|   1.18|    SPIRAL GALAXY|
|09 56 39.5|-13 46 30|251.3494| 31.0914|   1.09|    SPIRAL GALAXY|
|10 11 06.0|-13 46 00|254.2936| 33.5631|   1.30|    SPIRAL GALAXY|
|01 53 00.4|-13 44 21|173.0194|-70.3579|   1.67|ELLIPTICAL GALAXY|
|14 35 23.8|-13 44 10|337.8635| 41.9770|   1.10|    SPIRAL GALAXY|
|03 27 18.0|-13 44 00|200.6387|-51.3024|   1.12|    SPIRAL GALAXY|
|11 53 00.0|-13 44 00|281.9804| 46.7474|   1.21|LENTICULAR GALAXY|
|11 15 16.8|-13 43 58|270.2069| 42.9463|   1.12|LENTICULAR GALAXY|
|12 57 00.6|-13 43 10|305.0003| 49.1299|   1.01|LENTICULAR GALAXY|
|14 47 25.7|-13 43 00|341.1312| 40.3982|   1.30|    SPIRAL GALAXY|
|09 51 39.6|-13 42 44|250.3216| 30.2573|   1.17|    SPIRAL GALAXY|
|01 36 18.6|-13 41 46|163.1111|-72.9648|   1.15|    SPIRAL GALAXY|
|04 48 12.7|-13 40 03|211.7909|-33.4107|   1.17|ELLIPTICAL GALAXY|
|03 33 17.2|-13 39 54|201.5576|-49.9684|   1.45|    SPIRAL GALAXY|
|12 57 12.3|-13 39 54|305.0755| 49.1827|   1.27|LENTICULAR GALAXY|
|02 34 53.9|-13 39 33|188.9551|-62.3577|   1.29|    SPIRAL GALAXY|
|02 35 44.7|-13 39 20|189.1901|-62.1835|   1.21|    SPIRAL GALAXY|
|01 54 52.7|-13 39 14|173.7900|-69.9764|   1.04|    SPIRAL GALAXY|
|03 21 55.4|-13 39 03|199.5680|-52.4317|   1.04|    SPIRAL GALAXY|
|03 21 57.2|-13 38 55|199.5702|-52.4242|       |LENTICULAR GALAXY|
|13 00 30.0|-13 38 00|306.3010| 49.1791|   1.17| IRREGULAR GALAXY|
|20 15 36.0|-13 37 00| 29.7507|-24.7020|   1.12|           GALAXY|
|01 49 37.7|-13 34 18|170.8876|-70.8045|   1.17|    SPIRAL GALAXY|
|15 00 24.5|-13 33 07|344.5656| 38.6779|   1.34|    SPIRAL GALAXY|
|11 24 48.0|-13 33 00|272.8929| 44.2102|   1.23|    SPIRAL GALAXY|
|00 41 12.6|-13 32 48|112.4484|-76.2098|   1.16| IRREGULAR GALAXY|
|08 25 52.7|-13 30 42|236.3304| 13.8893|   1.01|LENTICULAR GALAXY|
|21 34 42.0|-13 30 00| 39.2934|-42.2288|   1.11| IRREGULAR GALAXY|
|03 42 29.5|-13 29 18|202.8035|-47.8791|   1.55|    SPIRAL GALAXY|
|00 17 05.5|-13 29 12| 90.7684|-74.1730|   1.02|    SPIRAL GALAXY|
|23 30 47.7|-13 29 09| 64.8418|-66.7455|   1.12|    SPIRAL GALAXY|
|05 16 18.0|-13 28 00|214.7610|-27.0811|   1.08|    SPIRAL GALAXY|
|02 40 54.0|-13 27 00|190.2502|-61.0182|   1.02|LENTICULAR GALAXY|
|12 50 54.0|-13 27 00|302.7308| 49.4215|   1.04|    SPIRAL GALAXY|
|13 00 53.0|-13 27 00|306.4591| 49.3571|   1.42|    SPIRAL GALAXY|
|00 46 24.3|-13 26 34|117.7715|-76.2641|   1.13|LENTICULAR GALAXY|
|20 55 24.0|-13 26 33| 34.4061|-33.4837|   1.14|    SPIRAL GALAXY|
|15 00 20.3|-13 26 19|344.6367| 38.7782|   1.15|    SPIRAL GALAXY|
|13 27 55.7|-13 25 24|316.3882| 48.4927|   1.25|    SPIRAL GALAXY|
|00 06 29.1|-13 25 14| 83.2479|-72.7303|   0.82|           GALAXY|
|15 16 53.1|-13 25 11|348.5835| 36.2496|   1.06|    SPIRAL GALAXY|
|00 06 27.0|-13 24 54| 83.2356|-72.7208|   0.94|           GALAXY|
|12 56 34.7|-13 23 41|304.8554| 49.4578|   1.14|    SPIRAL GALAXY|
|11 09 46.4|-13 22 59|268.3943| 42.5691|   1.10|LENTICULAR GALAXY|
|23 51 28.9|-13 22 55| 74.4219|-70.3728|   1.09|LENTICULAR GALAXY|
|12 46 14.9|-13 21 43|300.9885| 49.4902|   1.03|    SPIRAL GALAXY|
|23 40 51.7|-13 21 33| 69.2966|-68.5174|   1.11|    SPIRAL GALAXY|
|04 46 21.6|-13 21 00|211.2244|-33.6944|   1.13|    SPIRAL GALAXY|
|11 33 06.0|-13 21 00|275.3186| 45.2802|   1.12|    SPIRAL GALAXY|
|12 51 32.4|-13 19 49|302.9702| 49.5415|   1.25|    SPIRAL GALAXY|
|12 50 19.3|-13 19 29|302.5134| 49.5461|   1.21|LENTICULAR GALAXY|
|14 47 18.3|-13 19 23|341.3929| 40.7392|   1.15|    SPIRAL GALAXY|
|08 21 24.5|-13 19 07|235.5604| 13.0780|   1.31|    SPIRAL GALAXY|
|02 32 00.0|-13 19 00|187.4878|-62.7533|   1.15|    SPIRAL GALAXY|
|21 01 44.6|-13 18 47| 35.3044|-34.8418|   1.12|LENTICULAR GALAXY|
|21 34 44.4|-13 18 42| 39.5299|-42.1592|   1.11| IRREGULAR GALAXY|
|08 26 26.0|-13 18 24|236.2283| 14.1139|   1.01|    SPIRAL GALAXY|
|08 26 19.8|-13 18 11|236.2112| 14.0947|   1.27|    SPIRAL GALAXY|
|15 03 00.2|-13 16 59|345.4144| 38.5036|   1.03|    SPIRAL GALAXY|
|22 01 02.0|-13 16 10| 43.4569|-47.9258|   1.42|    SPIRAL GALAXY|
|04 33 37.9|-13 15 47|209.5883|-36.4883|   1.32|ELLIPTICAL GALAXY|
|11 53 21.9|-13 15 41|281.8763| 47.2223|   1.06|    SPIRAL GALAXY|
|04 39 40.3|-13 15 01|210.3129|-35.1410|   1.20|    SPIRAL GALAXY|
|01 46 29.2|-13 14 54|168.4834|-71.0726|   1.09|LENTICULAR GALAXY|
|12 51 03.0|-13 14 14|302.7862| 49.6344|   1.03|    SPIRAL GALAXY|
|12 15 05.1|-13 14 05|289.4643| 48.6841|   1.08|    SPIRAL GALAXY|
|12 59 18.5|-13 13 52|305.8876| 49.5955|   1.25|LENTICULAR GALAXY|
|01 52 42.0|-13 13 00|171.7885|-70.0344|   1.15|    SPIRAL GALAXY|
|04 35 06.0|-13 13 00|209.7169|-36.1432|   1.02|LENTICULAR GALAXY|
|12 23 00.0|-13 13 00|292.3344| 49.0690|   0.94|    SPIRAL GALAXY|
|11 38 12.0|-13 03 00|276.7586| 46.0667|   1.14|    SPIRAL GALAXY|
|13 21 49.3|-13 12 25|314.2433| 48.9963|   1.30|    SPIRAL GALAXY|
|12 23 06.0|-13 12 00|292.3668| 49.0896|   1.12|LENTICULAR GALAXY|
|11 28 11.7|-13 11 43|273.7012| 44.9000|   1.51|    SPIRAL GALAXY|
|21 47 36.1|-13 10 57| 41.5175|-44.9412|   1.23|LENTICULAR GALAXY|
|09 31 06.2|-13 10 54|246.0867| 26.8752|   1.07|    SPIRAL GALAXY|
|08 33 50.1|-13 10 29|237.1344| 15.6935|   1.43|LENTICULAR GALAXY|
|21 20 23.4|-13 10 17| 37.7891|-38.9241|   1.08|    SPIRAL GALAXY|
|15 21 37.9|-13 10 11|349.8583| 35.6737|   1.45|    SPIRAL GALAXY|
|00 53 13.3|-13 09 53|124.7309|-76.0302|   1.21|    SPIRAL GALAXY|
|14 25 07.6|-13 09 47|335.3242| 43.7378|   1.21|    SPIRAL GALAXY|
|22 00 21.6|-13 08 48| 43.5142|-47.7247|   1.15|    SPIRAL GALAXY|
|00 33 10.3|-13 08 47|105.0435|-75.3800|   1.09|    SPIRAL GALAXY|
|22 38 20.4|-13 08 11| 50.4827|-55.9180|   1.03|    SPIRAL GALAXY|
|02 41 26.3|-13 07 44|189.8393|-60.7349|   1.08|LENTICULAR GALAXY|
|07 44 36.0|-13 07 00|230.7180|  5.4963|   1.19|    SPIRAL GALAXY|
|03 39 29.1|-13 06 57|201.8216|-48.3734|   1.17|LENTICULAR GALAXY|
|00 53 30.5|-13 06 46|125.0126|-75.9762|   1.11|LENTICULAR GALAXY|
|10 18 23.7|-13 06 16|255.3205| 35.2565|   1.16|LENTICULAR GALAXY|
|15 21 13.8|-13 06 03|349.8252| 35.7903|   1.10|    SPIRAL GALAXY|
|22 36 18.0|-13 06 00| 50.1079|-55.4670|   1.12|    SPIRAL GALAXY|
|15 21 33.1|-13 05 32|349.9042| 35.7444|   1.24|    SPIRAL GALAXY|
|11 30 29.1|-13 05 30|274.3445| 45.2393|   1.10|    SPIRAL GALAXY|
|12 35 51.2|-13 05 25|297.0705| 49.6040|   1.14|    SPIRAL GALAXY|
|01 41 55.2|-13 04 55|165.4663|-71.6506|   1.04|LENTICULAR GALAXY|
|03 18 49.8|-13 03 46|198.1366|-52.8280|   1.04|    SPIRAL GALAXY|
|12 57 56.2|-13 03 36|305.3834| 49.7808|   1.21|    SPIRAL GALAXY|
|01 14 00.0|-13 03 00|144.5918|-74.9648|   1.04|    SPIRAL GALAXY|
|13 13 45.9|-13 02 33|311.3156| 49.4655|   1.25|ELLIPTICAL GALAXY|
|03 16 05.6|-13 02 07|197.5731|-53.4030|   1.10|    SPIRAL GALAXY|
|13 00 15.4|-13 00 26|306.2615| 49.8075|   1.04|LENTICULAR GALAXY|
|10 18 18.0|-13 00 00|255.2132| 35.3179|       |           GALAXY|
|11 36 42.0|-12 59 00|276.2388| 45.9790|   1.21|    SPIRAL GALAXY|
|14 32 52.9|-12 58 30|337.6958| 42.9457|   1.21|    SPIRAL GALAXY|
|09 56 13.8|-12 58 01|250.5832| 31.5767|   1.02|LENTICULAR GALAXY|
|23 38 57.1|-12 57 42| 69.2375|-67.9061|   1.54|    SPIRAL GALAXY|
|14 44 00.8|-12 57 07|340.7932| 41.4980|   1.17|    SPIRAL GALAXY|
|22 34 30.0|-12 56 00| 49.9881|-55.0029|   1.09|LENTICULAR GALAXY|
|23 00 47.8|-12 55 07| 56.2116|-60.4896|   1.25|    SPIRAL GALAXY|
|03 42 56.2|-12 54 59|202.1100|-47.5312|   1.49|    SPIRAL GALAXY|
|01 55 17.9|-12 54 35|172.4938|-69.3751|   1.08|    SPIRAL GALAXY|
|22 34 48.0|-12 54 00| 50.1011|-55.0505|   1.12|    SPIRAL GALAXY|
|11 43 18.6|-12 52 41|278.3217| 46.7125|   1.43|LENTICULAR GALAXY|
|12 02 36.0|-12 52 00|284.8819| 48.2861|   1.04|    SPIRAL GALAXY|
|08 44 02.1|-12 51 37|238.3124| 17.9296|   1.21|    SPIRAL GALAXY|
|11 43 00.0|-12 51 00|278.2043| 46.7096|   1.20|LENTICULAR GALAXY|
|20 46 51.8|-12 50 53| 34.0491|-31.3432|   1.35| IRREGULAR GALAXY|
|10 50 26.2|-12 50 44|262.7649| 40.4048|   1.32|ELLIPTICAL GALAXY|
|00 51 30.0|-12 50 42|122.9932|-75.7167|   0.92|    SPIRAL GALAXY|
|01 49 36.0|-12 49 00|169.3534|-70.2490|   1.29|    SPIRAL GALAXY|
|23 00 06.0|-12 49 00| 56.1974|-60.2917|   1.22|LENTICULAR GALAXY|
|23 00 06.0|-12 48 00| 56.2256|-60.2826|   1.17|LENTICULAR GALAXY|
|04 42 58.9|-12 46 16|210.1825|-34.2093|   1.18|    SPIRAL GALAXY|
|00 51 51.3|-12 46 04|123.3419|-75.6392|   0.59|    SPIRAL GALAXY|
|11 43 14.6|-12 45 59|278.2377| 46.8095|   1.09|    SPIRAL GALAXY|
|05 13 43.3|-12 45 38|213.7485|-27.3674|   1.17|    SPIRAL GALAXY|
|21 52 48.0|-10 30 00| 45.7084|-44.8733|   1.19|    SPIRAL GALAXY|
|08 27 34.0|-12 45 25|235.9062| 14.6440|   1.36|    SPIRAL GALAXY|
|04 32 48.0|-12 45 00|208.9031|-36.4619|   1.04|    SPIRAL GALAXY|
|12 57 34.4|-12 44 38|305.2646| 50.1001|   1.16|    SPIRAL GALAXY|
|13 19 30.5|-12 44 28|313.5165| 49.5529|   1.11|LENTICULAR GALAXY|
|04 49 18.0|-12 44 00|210.9003|-32.7892|   1.20|    SPIRAL GALAXY|
|00 48 35.5|-12 43 01|120.1449|-75.5733|   0.93|LENTICULAR GALAXY|
|13 19 38.1|-12 41 59|313.5742| 49.5885|   1.20|    SPIRAL GALAXY|
|05 00 18.7|-12 41 29|212.1478|-30.3227|   1.29|    SPIRAL GALAXY|
|05 24 54.7|-12 41 22|214.9222|-24.8493|   1.23|    SPIRAL GALAXY|
|19 54 40.4|-12 41 17| 28.4068|-19.6754|   1.17|    SPIRAL GALAXY|
|12 42 24.7|-12 40 32|299.4960| 50.1360|   1.05|    SPIRAL GALAXY|
|11 52 33.2|-12 39 37|281.3048| 47.7235|   1.13|    SPIRAL GALAXY|
|13 19 31.7|-12 39 26|313.5456| 49.6348|   1.29|ELLIPTICAL GALAXY|
|01 31 31.4|-12 39 18|157.8590|-72.7492|   1.13|LENTICULAR GALAXY|
|12 10 53.6|-12 39 18|287.7533| 49.0182|   1.11|LENTICULAR GALAXY|
|04 31 42.0|-12 39 00|208.6513|-36.6646|   1.04|    SPIRAL GALAXY|
|10 10 02.2|-12 38 51|253.1356| 34.1917|   1.20|    SPIRAL GALAXY|
|06 04 34.7|-12 37 30|219.1544|-16.0216|   1.40|    SPIRAL GALAXY|
|09 51 22.2|-12 37 28|249.3419| 30.9480|   1.14|    SPIRAL GALAXY|
|01 08 42.0|-12 37 00|139.3435|-74.9357|   1.12|    SPIRAL GALAXY|
|13 26 12.0|-12 37 00|316.0192| 49.3697|   1.30|LENTICULAR GALAXY|
|12 41 23.9|-12 36 49|299.1052| 50.1835|   1.19|    SPIRAL GALAXY|
|12 55 10.5|-12 36 31|304.3579| 50.2528|   1.28|    SPIRAL GALAXY|
|03 07 26.7|-12 35 15|195.1559|-55.0305|   1.02|    SPIRAL GALAXY|
|00 44 12.0|-12 35 00|115.9299|-75.3566|   1.04|    SPIRAL GALAXY|
|10 10 04.0|-12 34 53|253.0862| 34.2442|   0.92|    SPIRAL GALAXY|
|15 43 10.5|-12 34 28|354.9224| 32.4587|   1.05|    SPIRAL GALAXY|
|13 20 20.3|-12 34 19|313.8689| 49.6851|   1.42|    SPIRAL GALAXY|
|11 36 06.9|-12 34 09|275.8045| 46.2973|   1.04|    SPIRAL GALAXY|
|12 54 35.8|-12 34 06|304.1385| 50.2960|   1.25|ELLIPTICAL GALAXY|
|19 54 33.1|-12 34 03| 28.5101|-19.5983|   1.37|    SPIRAL GALAXY|
|09 20 36.0|-12 34 00|243.7530| 25.2822|   1.34| IRREGULAR GALAXY|
|22 36 30.0|-12 34 00| 50.9665|-55.2465|   1.12|LENTICULAR GALAXY|
|12 23 20.8|-12 33 31|292.2923| 49.7319|   1.38|ELLIPTICAL GALAXY|
|12 54 36.4|-12 33 29|304.1426| 50.3062|   1.26|ELLIPTICAL GALAXY|
|05 42 00.0|-12 33 00|216.6528|-20.9945|   1.21| IRREGULAR GALAXY|
|22 36 46.3|-12 32 40| 51.0583|-55.2929|   0.99|    SPIRAL GALAXY|
|11 21 54.4|-12 32 30|271.3585| 44.7717|   1.10|    SPIRAL GALAXY|
|13 19 12.6|-12 32 25|313.4575| 49.7630|   1.01|LENTICULAR GALAXY|
|21 11 00.2|-12 32 11| 37.3194|-36.5790|   1.17|    SPIRAL GALAXY|
|12 19 48.0|-12 32 00|290.9696| 49.6022|   1.10|    SPIRAL GALAXY|
|04 28 45.3|-12 30 32|208.1159|-37.2589|   1.17|    SPIRAL GALAXY|
|06 02 42.8|-12 30 01|218.8367|-16.3816|   1.15|    SPIRAL GALAXY|
|00 34 54.9|-12 29 56|107.3043|-74.8671|   1.13|    SPIRAL GALAXY|
|12 55 03.7|-12 29 49|304.3185| 50.3650|   0.90|LENTICULAR GALAXY|
|09 53 36.1|-12 28 58|249.6541| 31.4433|   1.12|LENTICULAR GALAXY|
|11 54 21.6|-12 28 43|281.8348| 48.0413|   1.27| IRREGULAR GALAXY|
|12 21 44.1|-12 28 18|291.6695| 49.7494|   1.04|    SPIRAL GALAXY|
|10 50 57.8|-12 26 54|262.5933| 40.8014|   1.30|    SPIRAL GALAXY|
|11 08 01.3|-12 26 44|267.2271| 43.1426|   1.05|    SPIRAL GALAXY|
|09 36 05.9|-12 26 14|246.3338| 28.2855|   1.17|    SPIRAL GALAXY|
|10 10 10.0|-12 26 02|252.9829| 34.3670|   1.49|    SPIRAL GALAXY|
|00 59 30.0|-12 26 00|130.6507|-75.1841|   1.04|    SPIRAL GALAXY|
|02 42 42.2|-12 25 42|188.9940|-60.0933|   0.97|    SPIRAL GALAXY|
|02 42 38.3|-12 25 19|188.9657|-60.1029|   1.08|LENTICULAR GALAXY|
|10 51 17.5|-12 24 09|262.6431| 40.8857|   1.10|LENTICULAR GALAXY|
|02 58 56.0|-12 23 56|192.9919|-56.7273|   1.14|ELLIPTICAL GALAXY|
|04 16 38.4|-12 23 56|206.3943|-39.8949|   1.23|    SPIRAL GALAXY|
|02 42 46.4|-12 23 54|188.9628|-60.0624|   1.12|    SPIRAL GALAXY|
|09 25 22.7|-12 23 32|244.4123| 26.3012|   1.07|    SPIRAL GALAXY|
|12 42 49.0|-12 23 25|299.6265| 50.4261|   1.16|ELLIPTICAL GALAXY|
|01 48 24.0|-12 22 00|167.8336|-70.0988|   1.45| IRREGULAR GALAXY|
|20 21 08.1|-12 21 32| 31.6264|-25.4184|   1.06|    SPIRAL GALAXY|
|01 32 20.7|-12 21 26|157.9107|-72.3905|   1.07|LENTICULAR GALAXY|
|08 33 05.3|-12 21 19|236.3191| 15.9924|   1.03|LENTICULAR GALAXY|
|13 00 17.2|-12 20 49|306.3281| 50.4664|   1.25| IRREGULAR GALAXY|
|03 04 39.9|-12 20 32|194.1868|-55.4950|   1.05|    SPIRAL GALAXY|
|13 02 23.6|-12 20 31|307.1351| 50.4404|   1.04|LENTICULAR GALAXY|
|21 04 39.7|-12 20 17| 36.7460|-35.0890|   1.27|ELLIPTICAL GALAXY|
|10 06 12.0|-12 20 00|252.0651| 33.7585|   1.26|    SPIRAL GALAXY|
|13 34 39.9|-12 19 51|319.2017| 49.1705|   1.15|    SPIRAL GALAXY|
|08 02 47.2|-12 19 07|232.2675|  9.7329|   1.17|LENTICULAR GALAXY|
|11 24 00.0|-12 17 45|271.8302| 45.2304|   1.28|    SPIRAL GALAXY|
|23 39 53.8|-12 17 36| 70.9394|-67.6146|   1.67|    SPIRAL GALAXY|
|12 57 05.9|-12 16 20|305.1096| 50.5756|   1.27|    SPIRAL GALAXY|
|02 35 36.0|-12 16 00|186.7141|-61.4335|   1.23|LENTICULAR GALAXY|
|20 31 42.6|-12 15 56| 32.9135|-27.7326|   1.08|    SPIRAL GALAXY|
|00 36 12.8|-12 15 32|108.6935|-74.7082|   1.14|    SPIRAL GALAXY|
|15 29 23.0|-12 14 48|352.3282| 35.0658|   1.13|    SPIRAL GALAXY|
|09 19 48.0|-12 14 00|243.3297| 25.3358|   1.23| IRREGULAR GALAXY|
|12 19 42.3|-12 13 30|290.8437| 49.9005|   1.07|    SPIRAL GALAXY|
|23 39 07.1|-12 13 29| 70.7225|-67.4303|   1.16|    SPIRAL GALAXY|
|12 59 06.0|-12 13 00|305.8829| 50.6112|   1.12| IRREGULAR GALAXY|
|04 54 39.4|-12 12 13|210.9674|-31.3795|   1.29|    SPIRAL GALAXY|
|04 16 42.6|-12 12 02|206.1700|-39.7949|   1.24|ELLIPTICAL GALAXY|
|01 32 53.8|-12 11 29|158.0034|-72.1787|   1.15|LENTICULAR GALAXY|
|22 01 59.3|-12 11 26| 45.0484|-47.6521|   1.30|    SPIRAL GALAXY|
|02 49 58.7|-12 09 52|190.4640|-58.4611|   1.33|LENTICULAR GALAXY|
|03 28 54.5|-12 09 13|198.7023|-50.2303|   1.14|    SPIRAL GALAXY|
|04 55 06.0|-12 09 00|210.9629|-31.2587|   1.18|    SPIRAL GALAXY|
|08 28 22.1|-12 08 29|235.4806| 15.1420|   1.11|    SPIRAL GALAXY|
|15 27 09.9|-12 08 03|351.9421| 35.5210|   1.23|    SPIRAL GALAXY|
|09 49 54.0|-12 07 00|248.6224| 31.0270|   0.89| IRREGULAR GALAXY|
|09 26 59.3|-12 06 33|244.4436| 26.7850|   1.36|ELLIPTICAL GALAXY|
|10 50 18.1|-12 06 31|262.1548| 40.9795|   1.33|    SPIRAL GALAXY|
|00 11 06.7|-12 06 27| 88.7780|-72.2500|   1.34|           GALAXY|
|03 19 17.6|-12 06 11|196.8379|-52.2710|   1.12|    SPIRAL GALAXY|
|09 46 16.3|-12 06 06|247.9185| 30.3785|   1.04|    SPIRAL GALAXY|
|12 53 54.0|-12 06 00|303.8835| 50.7672|   1.30| IRREGULAR GALAXY|
|09 18 05.6|-12 05 44|242.9254| 25.0926|   0.87|LENTICULAR GALAXY|
|04 55 06.8|-12 05 37|210.9045|-31.2323|   1.24|LENTICULAR GALAXY|
|02 27 18.2|-12 05 12|183.8317|-62.9623|   1.01|    SPIRAL GALAXY|
|01 39 34.5|-12 04 36|162.1426|-71.1852|   1.09|    SPIRAL GALAXY|
|03 03 35.3|-12 04 35|193.5457|-55.5861|   1.15|LENTICULAR GALAXY|
|13 11 58.6|-12 03 50|310.8393| 50.4923|   1.22|    SPIRAL GALAXY|
|11 55 27.9|-12 03 37|282.0130| 48.5248|   1.06|LENTICULAR GALAXY|
|09 50 14.0|-12 03 31|248.6363| 31.1263|   1.18|    SPIRAL GALAXY|
|12 55 49.7|-12 03 19|304.6305| 50.8020|   1.38|LENTICULAR GALAXY|
|01 32 39.9|-12 02 34|157.5938|-72.0812|   1.04|    SPIRAL GALAXY|
|04 59 53.1|-12 02 13|211.4081|-30.1476|   1.10|LENTICULAR GALAXY|
|01 50 44.0|-12 02 10|168.4745|-69.4781|   1.18|    SPIRAL GALAXY|
|12 33 54.4|-12 01 40|296.1674| 50.6136|   1.09|    SPIRAL GALAXY|
|11 55 40.2|-12 01 35|282.0680| 48.5732|   1.05|    SPIRAL GALAXY|
|03 15 46.3|-12 01 27|196.0317|-52.9838|   1.35|LENTICULAR GALAXY|
|03 04 00.0|-12 01 00|193.5464|-55.4690|   1.04|    SPIRAL GALAXY|
|03 03 54.6|-11 59 32|193.4894|-55.4754|   1.47|LENTICULAR GALAXY|
|09 25 54.0|-11 59 00|244.1466| 26.6574|   1.04|    SPIRAL GALAXY|
|10 09 06.0|-11 58 00|252.3605| 34.5181|   1.08|    SPIRAL GALAXY|
|20 24 42.2|-11 57 53| 32.4254|-26.0491|   1.12|    SPIRAL GALAXY|
|02 16 10.7|-11 55 34|179.6529|-64.9797|   1.34|    SPIRAL GALAXY|
|09 21 27.5|-11 54 35|243.3265| 25.8545|   1.39|    SPIRAL GALAXY|
|12 54 51.0|-11 53 34|304.2575| 50.9702|   1.18|    SPIRAL GALAXY|
|05 05 27.2|-11 52 18|211.8859|-28.8403|   1.60|    SPIRAL GALAXY|
|01 19 12.0|-11 52 00|147.3931|-73.4059|   1.04|    SPIRAL GALAXY|
|00 31 37.5|-11 50 40|105.0514|-74.0244|   1.08|    SPIRAL GALAXY|
|00 07 30.0|-11 50 00| 86.8174|-71.5539|   1.12|    SPIRAL GALAXY|
|08 36 29.9|-11 49 52|236.3403| 16.9769|   1.28|    SPIRAL GALAXY|
|13 37 04.8|-11 49 49|320.2779| 49.4981|   1.21|    SPIRAL GALAXY|
|23 39 49.3|-11 49 05| 71.7891|-67.2683|   1.01|           GALAXY|
|22 47 47.6|-11 49 02| 54.6879|-57.2222|   1.16|    SPIRAL GALAXY|
|14 45 36.9|-11 48 35|342.0957| 42.2167|   1.10|LENTICULAR GALAXY|
|03 46 54.0|-11 48 00|201.2862|-46.1652|   1.17|    SPIRAL GALAXY|
|13 28 20.2|-11 47 05|317.0839| 50.0704|   1.26|    SPIRAL GALAXY|
|01 56 59.2|-11 46 53|171.1790|-68.2716|   1.43|    SPIRAL GALAXY|
|08 25 58.4|-11 46 45|234.8378| 14.8441|   1.19|    SPIRAL GALAXY|
|10 10 05.2|-11 46 44|252.4092| 34.8213|   1.16|LENTICULAR GALAXY|
|04 54 15.6|-11 46 24|210.4622|-31.2885|   1.12|    SPIRAL GALAXY|
|01 21 43.2|-11 46 13|149.2324|-73.0767|   1.08|    SPIRAL GALAXY|
|00 48 44.8|-11 46 01|120.4468|-74.6257|   1.11|    SPIRAL GALAXY|
|11 25 54.0|-11 46 00|272.0624| 45.9155|   1.18|    SPIRAL GALAXY|
|02 33 15.9|-11 44 44|185.1274|-61.5912|   1.23|    SPIRAL GALAXY|
|02 40 08.8|-11 44 04|187.1341|-60.2180|   1.11|    SPIRAL GALAXY|
|16 17 15.7|-11 43 55|  1.9855| 26.7606|   1.38|    SPIRAL GALAXY|
|10 53 50.5|-11 43 34|262.7856| 41.7993|   1.07|LENTICULAR GALAXY|
|04 33 52.2|-11 42 17|207.8641|-35.7862|   1.50|    SPIRAL GALAXY|
|04 19 18.7|-11 42 07|205.9408|-39.0062|       |    SPIRAL GALAXY|
|02 17 30.0|-11 41 00|179.7127|-64.5760|   1.03|    SPIRAL GALAXY|
|12 17 12.0|-11 40 00|289.7341| 50.3257|   1.01| IRREGULAR GALAXY|
|12 20 25.1|-11 40 00|290.9458| 50.4818|   1.04|LENTICULAR GALAXY|
|12 28 52.8|-11 39 08|294.1664| 50.8352|   1.19|    SPIRAL GALAXY|
|09 38 00.0|-11 39 00|245.9943| 29.1499|   1.04|    SPIRAL GALAXY|
